 

stn    time           tre200dx  tre200d0  hns000d0  rre150d0
GEO    19390101            6.9       5.1         0       1.0
GEO    19390102            7.7       5.7         0       3.4
GEO    19390103            5.5       1.7         2       0.4
GEO    19390104            4.3       1.7         0       0.5
GEO    19390105            5.2       3.0         0       1.8
GEO    19390106            3.2       0.1         0       0.0
GEO    19390107           -0.5      -2.7         0       0.0
GEO    19390108            3.2      -0.5         0       0.0
GEO    19390109            2.0      -1.9         0       0.0
GEO    19390110           -0.4      -2.2         0       0.6
GEO    19390111            4.0       0.8         0       0.4
GEO    19390112            4.0       1.8         0      12.9
GEO    19390113            7.6       4.3         0       0.2
GEO    19390114            9.8       6.5         0       0.1
GEO    19390115           11.8       8.4         0       1.0
GEO    19390116           13.8      11.9         0       0.5
GEO    19390117           13.7      11.0         0       0.8
GEO    19390118           15.6       8.8         0      22.0
GEO    19390119           11.2       7.6         0       0.2
GEO    19390120            8.9       6.0         0       1.6
GEO    19390121            8.2       7.5         0       5.4
GEO    19390122           10.0       8.0         0       7.8
GEO    19390123            9.0       4.9         0      12.1
GEO    19390124            5.2       4.1         0       1.1
GEO    19390125            4.0       1.7         2       9.0
GEO    19390126            5.6       1.8         1       0.3
GEO    19390127            2.9       0.2         0       0.0
GEO    19390128            1.3      -1.5         0       0.0
GEO    19390129            2.2       0.6         0       0.0
GEO    19390130            0.7       0.0         0       0.0
GEO    19390131            0.8       0.3         0       0.0
GEO    19390201            0.8      -0.2         0       0.0
GEO    19390202           -0.3      -0.9         0       0.0
GEO    19390203           -1.0      -2.0         0       0.0
GEO    19390204            0.0      -2.1         0       0.0
GEO    19390205           -1.0      -2.5         0       0.0
GEO    19390206           -0.1      -1.6         0       0.0
GEO    19390207           -0.9      -2.2         0       0.0
GEO    19390208            0.0      -1.8         0       0.0
GEO    19390209            4.0       0.9         0       0.0
GEO    19390210           11.4       5.3         0       0.0
GEO    19390211            8.9       4.0         0       0.0
GEO    19390212            8.0       3.5         0       0.0
GEO    19390213            7.0       4.9         0       0.2
