 

stn    time           nto002d0
CLA    19390101              0
CLA    19390102              0
CLA    19390103              0
CLA    19390104              1
CLA    19390105              0
CLA    19390106              0
CLA    19390107              0
CLA    19390108              0
CLA    19390109              1
CLA    19390110              0
CLA    19390111              0
CLA    19390112              0
CLA    19390113              0
CLA    19390114              0
CLA    19390115              0
CLA    19390116              0
CLA    19390117              0
CLA    19390118              0
CLA    19390119              0
CLA    19390120              0
CLA    19390121              0
CLA    19390122              0
CLA    19390123              0
CLA    19390124              0
CLA    19390125              0
CLA    19390126              0
CLA    19390127              0
CLA    19390128              1
CLA    19390129              0
CLA    19390130              0
CLA    19390131              0
CLA    19390201              0
CLA    19390202              0
CLA    19390203              0
CLA    19390204              0
CLA    19390205              0
CLA    19390206              0
CLA    19390207              0
CLA    19390208              0
CLA    19390209              0
CLA    19390210              0
CLA    19390211              1
CLA    19390212              0
CLA    19390213              0
CLA    19390214              0
CLA    19390215              1
CLA    19390216              1
CLA    19390217              0
CLA    19390218              0
CLA    19390219              0
CLA    19390220              0
CLA    19390221              0
CLA    19390222              0
CLA    19390223              0
CLA    19390224              0
CLA    19390225              0
CLA    19390226              0
CLA    19390227              0
CLA    19390228              1
CLA    19390301              0
CLA    19390302              1
CLA    19390303              1
CLA    19390304              1
CLA    19390305              0
CLA    19390306              0
CLA    19390307              0
CLA    19390308              0
CLA    19390309              0
CLA    19390310              0
CLA    19390311              0
CLA    19390312              0
CLA    19390313              1
CLA    19390314              0
CLA    19390315              0
CLA    19390316              0
CLA    19390317              0
CLA    19390318              0
CLA    19390319              0
CLA    19390320              0
CLA    19390321              0
CLA    19390322              0
CLA    19390323              0
CLA    19390324              0
CLA    19390325              0
CLA    19390326              1
CLA    19390327              0
CLA    19390328              0
CLA    19390329              1
CLA    19390330              0
CLA    19390331              1
CLA    19390401              0
CLA    19390402              0
CLA    19390403              0
CLA    19390404              0
CLA    19390405              0
CLA    19390406              0
CLA    19390407              0
CLA    19390408              0
CLA    19390409              0
CLA    19390410              1
CLA    19390411              1
CLA    19390412              0
CLA    19390413              0
CLA    19390414              0
CLA    19390415              0
CLA    19390416              1
CLA    19390417              0
CLA    19390418              0
CLA    19390419              0
CLA    19390420              1
CLA    19390421              1
CLA    19390422              1
CLA    19390423              0
CLA    19390424              0
CLA    19390425              0
CLA    19390426              0
CLA    19390427              0
CLA    19390428              0
CLA    19390429              0
CLA    19390430              0
CLA    19390501              1
CLA    19390502              0
CLA    19390503              0
CLA    19390504              0
CLA    19390505              0
CLA    19390506              0
CLA    19390507              0
CLA    19390508              0
CLA    19390509              0
CLA    19390510              0
CLA    19390511              0
CLA    19390512              0
CLA    19390513              0
CLA    19390514              0
CLA    19390515              0
CLA    19390516              0
CLA    19390517              0
CLA    19390518              0
CLA    19390519              0
CLA    19390520              0
CLA    19390521              0
CLA    19390522              0
CLA    19390523              0
CLA    19390524              1
CLA    19390525              0
CLA    19390526              0
CLA    19390527              0
CLA    19390528              0
CLA    19390529              0
CLA    19390530              1
CLA    19390531              0
CLA    19390601              1
CLA    19390602              0
CLA    19390603              0
CLA    19390604              1
CLA    19390605              1
CLA    19390606              0
CLA    19390607              0
CLA    19390608              1
CLA    19390609              1
CLA    19390610              0
CLA    19390611              0
CLA    19390612              0
CLA    19390613              0
CLA    19390614              0
CLA    19390615              0
CLA    19390616              0
CLA    19390617              0
CLA    19390618              0
CLA    19390619              0
CLA    19390620              0
CLA    19390621              0
CLA    19390622              0
CLA    19390623              0
CLA    19390624              0
CLA    19390625              0
CLA    19390626              0
CLA    19390627              0
CLA    19390628              1
CLA    19390629              0
CLA    19390630              0
CLA    19390701              0
CLA    19390702              0
CLA    19390703              1
CLA    19390704              1
CLA    19390705              0
CLA    19390706              0
CLA    19390707              0
CLA    19390708              1
CLA    19390709              0
CLA    19390710              0
CLA    19390711              1
CLA    19390712              0
CLA    19390713              0
CLA    19390714              0
CLA    19390715              0
CLA    19390716              0
CLA    19390717              0
CLA    19390718              1
CLA    19390719              0
CLA    19390720              0
CLA    19390721              0
CLA    19390722              0
CLA    19390723              0
CLA    19390724              0
CLA    19390725              0
CLA    19390726              0
CLA    19390727              0
CLA    19390728              1
CLA    19390729              1
CLA    19390730              1
CLA    19390731              0
CLA    19390801              0
CLA    19390802              0
CLA    19390803              0
CLA    19390804              0
CLA    19390805              0
CLA    19390806              0
CLA    19390807              0
CLA    19390808              0
CLA    19390809              0
CLA    19390810              1
CLA    19390811              1
CLA    19390812              0
CLA    19390813              0
CLA    19390814              0
CLA    19390815              1
CLA    19390816              1
CLA    19390817              1
CLA    19390818              1
CLA    19390819              0
CLA    19390820              0
CLA    19390821              0
CLA    19390822              0
CLA    19390823              0
CLA    19390824              0
CLA    19390825              0
CLA    19390826              0
CLA    19390827              1
CLA    19390828              1
CLA    19390829              1
CLA    19390830              0
CLA    19390831              1
CLA    19390901              0
CLA    19390902              1
CLA    19390903              0
CLA    19390904              0
CLA    19390905              0
CLA    19390906              1
CLA    19390907              0
CLA    19390908              0
CLA    19390909              0
CLA    19390910              1
CLA    19390911              1
CLA    19390912              0
CLA    19390913              0
CLA    19390914              0
CLA    19390915              0
CLA    19390916              0
CLA    19390917              0
CLA    19390918              0
CLA    19390919              0
CLA    19390920              0
CLA    19390921              0
CLA    19390922              0
CLA    19390923              0
CLA    19390924              1
CLA    19390925              0
CLA    19390926              0
CLA    19390927              0
CLA    19390928              0
CLA    19390929              0
CLA    19390930              1
CLA    19391001              0
CLA    19391002              0
CLA    19391003              0
CLA    19391004              0
CLA    19391005              0
CLA    19391006              0
CLA    19391007              0
CLA    19391008              0
CLA    19391009              0
CLA    19391010              0
CLA    19391011              0
CLA    19391012              0
CLA    19391013              0
CLA    19391014              0
CLA    19391015              0
CLA    19391016              0
CLA    19391017              0
CLA    19391018              0
CLA    19391019              0
CLA    19391020              0
CLA    19391021              0
CLA    19391022              0
CLA    19391023              0
CLA    19391024              0
CLA    19391025              0
CLA    19391026              0
CLA    19391027              0
CLA    19391028              0
CLA    19391029              0
CLA    19391030              0
CLA    19391031              0
CLA    19391101              0
CLA    19391102              0
CLA    19391103              0
