stn    time           nto002d0
MER    20120101              0
MER    20120102              0
MER    20120103              0
MER    20120104              0
MER    20120105              0
MER    20120106              0
MER    20120107              0
MER    20120108              0
MER    20120109              0
MER    20120110              0
MER    20120111              1
MER    20120112              0
MER    20120113              0
MER    20120114              1
MER    20120115              1
MER    20120116              1
MER    20120117              1
MER    20120118              1
MER    20120119              0
MER    20120120              0
MER    20120121              0
MER    20120122              0
MER    20120123              0
MER    20120124              0
MER    20120125              0
MER    20120126              0
MER    20120127              0
MER    20120128              0
MER    20120129              0
MER    20120130              0
MER    20120131              0
MER    20120201              0
MER    20120202              0
MER    20120203              0
MER    20120204              0
MER    20120205              1
MER    20120206              1
MER    20120207              0
MER    20120208              0
MER    20120209              0
MER    20120210              0
MER    20120211              0
MER    20120212              0
MER    20120213              0
MER    20120214              0
MER    20120215              0
MER    20120216              0
MER    20120217              0
MER    20120218              1
MER    20120219              0
MER    20120220              0
MER    20120221              1
MER    20120222              1
MER    20120223              0
MER    20120224              0
MER    20120225              0
MER    20120226              0
MER    20120227              1
MER    20120228              0
MER    20120229              1
MER    20120301              1
MER    20120302              1
MER    20120303              0
MER    20120304              0
MER    20120305              0
MER    20120306              0
MER    20120307              0
MER    20120308              0
MER    20120309              0
MER    20120310              1
MER    20120311              0
MER    20120312              0
MER    20120313              1
MER    20120314              1
MER    20120315              1
MER    20120316              1
MER    20120317              0
MER    20120318              0
MER    20120319              0
MER    20120320              1
MER    20120321              0
MER    20120322              1
MER    20120323              1
MER    20120324              0
MER    20120325              0
MER    20120326              1
MER    20120327              0
MER    20120328              1
MER    20120329              0
MER    20120330              0
MER    20120331              0
MER    20120401              0
MER    20120402              1
MER    20120403              0
MER    20120404              0
MER    20120405              0
MER    20120406              0
MER    20120407              0
MER    20120408              0
MER    20120409              0
MER    20120410              0
MER    20120411              0
MER    20120412              0
MER    20120413              0
MER    20120414              0
MER    20120415              0
MER    20120416              0
MER    20120417              0
MER    20120418              0
MER    20120419              0
MER    20120420              0
MER    20120421              0
MER    20120422              0
MER    20120423              0
MER    20120424              0
MER    20120425              0
MER    20120426              0
MER    20120427              0
MER    20120428              0
MER    20120429              0
MER    20120430              0
MER    20120501              0
MER    20120502              0
MER    20120503              0
MER    20120504              0
MER    20120505              0
MER    20120506              0
MER    20120507              0
MER    20120508              0
MER    20120509              0
MER    20120510              0
MER    20120511              0
MER    20120512              0
MER    20120513              0
MER    20120514              1
MER    20120515              0
MER    20120516              0
MER    20120517              0
MER    20120518              0
MER    20120519              0
MER    20120520              0
MER    20120521              0
MER    20120522              0
MER    20120523              0
MER    20120524              0
MER    20120525              1
MER    20120526              0
MER    20120527              0
MER    20120528              0
MER    20120529              0
MER    20120530              0
MER    20120531              0
MER    20120601              0
MER    20120602              1
MER    20120603              0
MER    20120604              0
MER    20120605              0
MER    20120606              0
MER    20120607              0
MER    20120608              0
MER    20120609              0
MER    20120610              0
MER    20120611              0
MER    20120612              0
MER    20120613              0
MER    20120614              0
MER    20120615              0
MER    20120616              0
MER    20120617              0
MER    20120618              0
MER    20120619              0
MER    20120620              0
MER    20120621              0
MER    20120622              0
MER    20120623              0
MER    20120624              0
MER    20120625              0
MER    20120626              0
MER    20120627              0
MER    20120628              0
MER    20120629              0
MER    20120630              0
MER    20120701              0
MER    20120702              0
MER    20120703              0
MER    20120704              0
MER    20120705              0
MER    20120706              0
MER    20120707              0
MER    20120708              0
MER    20120709              0
MER    20120710              0
MER    20120711              0
MER    20120712              0
MER    20120713              0
MER    20120714              0
MER    20120715              0
MER    20120716              0
MER    20120717              0
MER    20120718              1
MER    20120719              0
MER    20120720              0
MER    20120721              0
MER    20120722              0
MER    20120723              1
MER    20120724              0
MER    20120725              0
MER    20120726              1
MER    20120727              0
MER    20120728              0
MER    20120729              0
MER    20120730              0
MER    20120731              0
MER    20120801              0
MER    20120802              0
MER    20120803              0
MER    20120804              0
MER    20120805              0
MER    20120806              0
MER    20120807              0
MER    20120808              1
MER    20120809              0
MER    20120810              0
MER    20120811              1
MER    20120812              0
MER    20120813              0
MER    20120814              0
MER    20120815              0
MER    20120816              0
MER    20120817              1
MER    20120818              1
MER    20120819              1
MER    20120820              0
MER    20120821              0
MER    20120822              0
MER    20120823              0
MER    20120824              0
MER    20120825              0
MER    20120826              0
MER    20120827              1
MER    20120828              0
MER    20120829              0
MER    20120830              0
MER    20120831              0
MER    20120901              0
MER    20120902              0
MER    20120903              0
MER    20120904              0
MER    20120905              0
MER    20120906              0
MER    20120907              1
MER    20120908              1
MER    20120909              0
MER    20120910              0
MER    20120911              0
MER    20120912              0
MER    20120913              0
MER    20120914              0
MER    20120915              0
MER    20120916              1
MER    20120917              0
MER    20120918              0
MER    20120919              0
MER    20120920              0
MER    20120921              0
