 

stn    time           nto002d0  tre200dx  tre200d0  hns000d0  rre150d0
DAV    19390101              0      -2.4      -5.4         2       1.1
DAV    19390102              0       1.5      -2.0        14      10.0
DAV    19390103              0      -1.5      -6.0         3       0.9
DAV    19390104              0      -7.0     -10.0         0       0.0
DAV    19390105              0      -2.5      -5.7         3       1.2
DAV    19390106              0      -5.4      -8.7         2       0.7
DAV    19390107              0      -8.9     -12.5         2       1.7
DAV    19390108              0       2.2      -4.7         0       0.0
DAV    19390109              1      -0.1      -6.2         0       0.0
DAV    19390110              0       0.6      -6.6         0       0.0
DAV    19390111              0       2.8      -2.9         0       0.0
DAV    19390112              0       5.0      -0.3        10       8.8
DAV    19390113              0      -1.5      -6.7         0       0.0
DAV    19390114              0       2.1      -3.0         0       0.0
DAV    19390115              0       3.5       0.1         0       0.0
DAV    19390116              0       6.6       3.5         0       0.0
DAV    19390117              0       7.5       5.4         0       0.0
DAV    19390118              0       8.0       4.8         0       0.3
DAV    19390119              0       3.4       0.1         6       4.8
DAV    19390120              0       3.5      -0.3         0       0.0
DAV    19390121              0       3.5      -0.1         0       0.1
DAV    19390122              0       4.4      -1.3         6       3.6
DAV    19390123              0      -0.4      -4.0        11       6.5
DAV    19390124              0      -0.6      -3.6         2       2.0
DAV    19390125              0      -1.4      -6.5         0       0.0
DAV    19390126              0      -2.0      -5.4         6       4.6
DAV    19390127              0      -5.8      -7.9         4       2.5
DAV    19390128              0      -4.7     -10.3         0       0.0
DAV    19390129              0       0.2      -6.1         0       0.0
DAV    19390130              0       2.5      -6.6         0       0.0
DAV    19390131              1      -1.0      -8.3         0       0.0
DAV    19390201              1       1.0      -7.9         0       0.0
DAV    19390202              1      -2.0      -8.6         0       0.0
DAV    19390203              1      -0.5      -8.5         0       0.0
DAV    19390204              1       0.8      -7.1         0       0.0
DAV    19390205              0       5.5      -3.4         0       0.0
DAV    19390206              1       4.7      -3.5         0       0.0
DAV    19390207              1       5.3      -2.6         0       0.0
DAV    19390208              1       6.0      -1.7         0       0.0
DAV    19390209              1       7.0       0.3         0       0.2
DAV    19390210              0       2.4      -0.6         5      11.0
DAV    19390211              1       3.5      -3.5         0       0.0
DAV    19390212              0       6.0      -1.5         0       0.0
DAV    19390213              0       2.0      -4.4         0       0.1
DAV    19390214              0      -4.5      -8.9         0       0.0
DAV    19390215              1      -1.0      -8.7         0       0.0
DAV    19390216              1       2.5      -5.8         0       0.0
DAV    19390217              0       2.5      -4.2         3       1.0
DAV    19390218              0       1.4      -2.6         6       3.2
DAV    19390219              0      -0.3      -2.9         9       4.2
DAV    19390220              0      -1.0      -3.6         0       0.0
DAV    19390221              0      -2.3      -5.5         0       0.0
DAV    19390222              0      -1.5      -8.2         0       0.0
DAV    19390223              0       2.0      -2.5         0       0.0
DAV    19390224              0       7.5       3.0         0       0.0
DAV    19390225              0       7.2       2.1         0       0.0
DAV    19390226              0       7.2       2.8         0       0.0
DAV    19390227              0       1.7      -0.7         0       0.2
DAV    19390228              1       4.5      -1.7         1       3.1
DAV    19390301              0      -0.3      -4.6         1       0.4
DAV    19390302              1       2.3      -4.3         0       0.0
DAV    19390303              1       6.8      -1.1         0       0.0
DAV    19390304              1       8.3      -0.8         0       0.2
DAV    19390305              0       6.0       2.0         3       6.8
DAV    19390306              0       8.6       3.5        10       7.0
DAV    19390307              0       6.0       1.5        10       4.6
DAV    19390308              0       1.0      -5.2         5      22.1
DAV    19390309              0      -1.0      -6.2         5      16.7
DAV    19390310              0      -2.0      -5.2         7       9.7
DAV    19390311              0      -4.5      -8.1         3       1.4
DAV    19390312              0      -4.2      -8.9         6       0.7
DAV    19390313              0      -6.0     -10.5         0       0.2
DAV    19390314              0      -6.0      -9.2         4      24.0
DAV    19390315              0      -3.6      -8.7         4      31.0
DAV    19390316              0      -7.6      -9.9         1       0.3
DAV    19390317              0      -3.5      -9.2         0       0.0
DAV    19390318              0      -4.5      -9.6         0       0.0
DAV    19390319              0      -3.4     -10.1         0       0.0
DAV    19390320              0      -4.0      -7.9         1       0.4
DAV    19390321              0      -4.6      -7.9         8      13.4
DAV    19390322              0      -3.0      -5.9         3       2.3
DAV    19390323              0       0.0      -5.2         1       0.3
DAV    19390324              0      -1.2      -5.0         0       0.0
DAV    19390325              0      -2.0      -5.2         0       0.1
DAV    19390326              0       1.3      -6.1         0       0.0
DAV    19390327              0      -0.5      -5.3         0       0.1
DAV    19390328              0      -0.4      -4.9         2       0.4
DAV    19390329              0      -0.3      -5.5         0       0.0
DAV    19390330              0       6.6      -1.9         0       0.0
DAV    19390331              0       7.0       0.1         0       0.0
DAV    19390401              0       8.0       1.2         0       0.0
DAV    19390402              0       8.5       3.2         0       0.2
DAV    19390403              0       6.5       2.4         0       0.0
DAV    19390404              0       8.8       3.7         0       0.0
DAV    19390405              0       9.5       5.2         0       0.0
DAV    19390406              0      12.2       6.0         0       0.8
DAV    19390407              0      14.0       6.2         0       0.0
DAV    19390408              0      12.0       5.4         0       0.0
DAV    19390409              0      12.0       5.0         0       0.0
DAV    19390410              1      13.0       5.7         0       0.0
DAV    19390411              1      13.0       6.2         0       0.0
DAV    19390412              0      13.6       6.6         0       0.0
DAV    19390413              1      14.0       7.2         0       0.0
DAV    19390414              0      14.5       8.4         0       0.0
DAV    19390415              0       7.9       3.5         1       1.8
DAV    19390416              1      11.2       5.2         0       0.0
DAV    19390417              0      12.0       4.2         5       2.8
DAV    19390418              0       3.0      -1.5         0       0.7
DAV    19390419              0       3.6      -0.4         0       0.0
DAV    19390420              0       8.5       2.7         0       0.0
DAV    19390421              1      11.5       4.8         0       0.0
DAV    19390422              0      13.5       6.9         0       2.3
DAV    19390423              0       5.5       0.9         0       0.0
DAV    19390424              0       6.0       0.8         0       0.0
DAV    19390425              0       9.5       4.7         0       0.0
DAV    19390426              0      12.0       6.2         0       0.0
DAV    19390427              0       4.5       1.5         5       4.6
DAV    19390428              0       8.0       2.2         8       6.7
DAV    19390429              0       5.0       2.5         0      11.8
DAV    19390430              0       5.5       2.0         0       1.5
DAV    19390501              0       9.0       5.0         0       0.0
DAV    19390502              0      11.5       4.7         0       0.0
DAV    19390503              0       9.5       4.3         0       0.0
DAV    19390504              0       6.6       4.0         0       0.0
DAV    19390505              0       6.5       3.5         0       0.1
DAV    19390506              0      11.5       6.6         0       0.1
DAV    19390507              0      12.0       6.7         0       3.4
DAV    19390508              0       5.5       1.7         0       5.1
DAV    19390509              0       4.0       1.9         0       5.3
DAV    19390510              0       8.7       4.6         0       0.0
DAV    19390511              0       8.5       4.4         0       7.5
DAV    19390512              0       8.5       3.1         0       8.8
DAV    19390513              0       7.0       3.0         0       4.4
DAV    19390514              0       8.5       2.9         6      11.3
DAV    19390515              0      10.5       5.1         0       2.0
DAV    19390516              0       7.5       3.2        16      25.0
DAV    19390517              0       6.5       3.5         0       0.2
DAV    19390518              0      13.8       7.2         0       8.1
DAV    19390519              0       9.6       5.1         0       2.0
DAV    19390520              0      10.5       5.3         0       9.3
DAV    19390521              0       4.9       2.2         0      10.6
DAV    19390522              0       4.8       3.1         0       7.7
DAV    19390523              0       7.5       4.2         0       0.5
DAV    19390524              0      11.2       6.9         0       0.2
DAV    19390525              0       6.2       2.6         0       1.2
DAV    19390526              0       8.7       3.9         0       0.0
DAV    19390527              0      12.0       7.8         0       0.0
DAV    19390528              0       8.7       4.3         2       9.4
DAV    19390529              0       7.0       3.2         0       0.2
DAV    19390530              0      11.5       6.6         0       0.0
DAV    19390531              0      14.0       8.5         0       6.3
DAV    19390601              0      15.0       9.6         0       0.2
DAV    19390602              0      18.0      11.1         0       0.0
DAV    19390603              0      19.0      12.3         0       0.0
DAV    19390604              1      20.0      14.0         0       0.0
DAV    19390605              0      20.0      13.7         0       0.0
DAV    19390606              0      22.0      17.1         0       0.0
DAV    19390607              0      21.3      15.2         0       0.0
DAV    19390608              0      21.0      13.9         0       0.9
DAV    19390609              0      20.5      15.0         0       0.8
DAV    19390610              0      22.0      14.1         0       0.8
DAV    19390611              0      18.5      12.0         0       3.0
DAV    19390612              0      11.0       5.1         3      18.3
DAV    19390613              0       4.0       2.9         0       1.5
DAV    19390614              0       3.8       2.2         0       0.0
DAV    19390615              0       8.5       5.2         0       0.0
DAV    19390616              0      16.7      11.5         0       0.0
DAV    19390617              0      13.5       8.8         0       2.7
DAV    19390618              0       8.0       6.8         0       4.3
DAV    19390619              0      12.5       8.7         0       0.2
DAV    19390620              0      13.3       9.6         0       2.0
DAV    19390621              0      17.5      12.8         0       0.1
DAV    19390622              0      20.3      14.4         0       0.0
DAV    19390623              0      21.0      15.5         0       0.0
DAV    19390624              0      18.2      11.3         0      17.8
DAV    19390625              0      15.5       9.8         0       0.0
DAV    19390626              0      12.5       8.4         0      13.9
DAV    19390627              0      13.0       9.4         0       0.1
DAV    19390628              1      19.6      13.2         0       0.0
DAV    19390629              1      23.0      16.5         0       0.0
DAV    19390630              0      23.5      16.2         0       1.7
DAV    19390701              0      13.5       8.8         0      37.7
DAV    19390702              0       9.5       5.4         0       0.0
DAV    19390703              0      15.5       9.8         0       0.0
DAV    19390704              1      20.0      14.4         0       0.0
DAV    19390705              0      21.7      15.8         0       0.0
DAV    19390706              0      17.3      12.3         0      12.7
DAV    19390707              0      19.0      14.7         0       0.0
DAV    19390708              1      22.8      16.7         0       0.0
DAV    19390709              0      23.0      14.2         0       7.9
DAV    19390710              0      16.8      12.1         0       2.9
DAV    19390711              0      14.9      10.4         0       0.0
DAV    19390712              0      15.9      11.8         0       0.0
DAV    19390713              0      20.7      14.5         0      12.3
DAV    19390714              0      19.5      12.7         0       3.7
DAV    19390715              0      18.9      12.7         0      17.0
DAV    19390716              0      19.9      10.3         0      20.0
DAV    19390717              0      15.0      10.2         0       2.6
DAV    19390718              0      19.6      13.7         0       0.0
DAV    19390719              0      21.5      15.4         0       0.0
DAV    19390720              0      21.5      15.3         0       0.0
DAV    19390721              0      23.5      17.7         0       0.2
DAV    19390722              0      14.5       7.3         0      46.8
DAV    19390723              0      14.5       8.9         0       1.2
DAV    19390724              0      10.8       7.1         1      29.5
DAV    19390725              0       9.8       3.5         0       6.9
DAV    19390726              0      10.0       5.3         0       2.5
DAV    19390727              0       8.6       6.4         0       0.4
DAV    19390728              1      16.5      10.4         0       0.0
DAV    19390729              1      20.6      14.0         0       0.0
DAV    19390730              1      23.1      16.5         0       0.0
DAV    19390731              0      23.7      15.9         0       0.0
DAV    19390801              0      18.0      13.4         0       0.0
DAV    19390802              0      17.5      12.7         0       0.1
DAV    19390803              0      17.5      11.8         0      13.1
DAV    19390804              0      14.0      10.5         0      28.4
DAV    19390805              0      19.5      12.6         0      12.3
DAV    19390806              0      10.4       7.0         0       4.8
DAV    19390807              0      15.6      10.9         0       1.0
DAV    19390808              0      15.7      10.6         0       3.4
DAV    19390809              0      14.1      10.0         0       0.8
DAV    19390810              1      18.5      12.2         0       0.0
DAV    19390811              0      20.3      15.3         0       0.6
DAV    19390812              0      18.6      14.1         0       0.0
DAV    19390813              0      17.4      13.1         0       0.0
DAV    19390814              0      18.0      13.7         0       1.9
DAV    19390815              0      14.8      10.7         0       0.0
DAV    19390816              0      15.2      10.5         0       0.0
DAV    19390817              0      17.5      11.9         0       0.0
DAV    19390818              0      19.7      13.5         0       0.0
DAV    19390819              0      19.3      12.4         0       0.2
DAV    19390820              0      16.7      11.5         0       0.9
DAV    19390821              0      17.2      12.9         0       0.3
DAV    19390822              0      17.0      12.1         0       0.9
DAV    19390823              0      17.2      12.3         0       0.0
DAV    19390824              0      18.2      13.4         0       0.0
DAV    19390825              0      16.5      11.8         0       9.4
DAV    19390826              0      14.5      11.3         0       0.4
DAV    19390827              0      17.5      13.2         0       0.0
DAV    19390828              0      18.5      12.8         0       0.0
DAV    19390829              0      18.4      11.6         0       0.0
DAV    19390830              0      17.5      11.4         0       0.0
DAV    19390831              0      21.8      13.9         0       5.6
DAV    19390901              0      19.0      14.2         0       0.0
DAV    19390902              0      17.5      13.0         0       0.3
DAV    19390903              0      18.5      13.4         0       1.6
DAV    19390904              0      15.5      10.6         0      28.4
DAV    19390905              0       9.6       8.1         0       2.8
DAV    19390906              0      15.1      10.6         0       0.0
DAV    19390907              0      16.9      12.6         0       0.0
DAV    19390908              1      18.6      12.8         0       0.0
DAV    19390909              1      18.6      12.4         0       0.0
DAV    19390910              1      19.0      12.0         0       0.0
