 

stn    time           nto002d0
SAM    20050101              1
SAM    20050102              0
SAM    20050103              0
SAM    20050104              1
SAM    20050105              0
SAM    20050106              0
SAM    20050107              0
SAM    20050108              1
SAM    20050109              0
SAM    20050110              1
SAM    20050111              1
SAM    20050112              1
SAM    20050113              0
SAM    20050114              1
SAM    20050115              1
SAM    20050116              1
SAM    20050117              1
SAM    20050118              0
SAM    20050119              0
SAM    20050120              0
SAM    20050121              0
SAM    20050122              0
SAM    20050123              0
SAM    20050124              0
SAM    20050125              0
SAM    20050126              0
SAM    20050127              0
SAM    20050128              0
SAM    20050129              1
SAM    20050130              1
SAM    20050131              1
SAM    20050201              0
SAM    20050202              0
SAM    20050203              0
SAM    20050204              1
SAM    20050205              1
SAM    20050206              1
SAM    20050207              1
SAM    20050208              0
SAM    20050209              1
SAM    20050210              0
SAM    20050211              0
SAM    20050212              0
SAM    20050213              0
SAM    20050214              0
SAM    20050215              0
SAM    20050216              0
SAM    20050217              1
SAM    20050218              1
SAM    20050219              0
SAM    20050220              0
SAM    20050221              0
SAM    20050222              0
SAM    20050223              0
SAM    20050224              0
SAM    20050225              0
SAM    20050226              1
SAM    20050227              0
SAM    20050228              0
SAM    20050301              1
SAM    20050302              1
SAM    20050303              0
SAM    20050304              0
SAM    20050305              0
SAM    20050306              0
SAM    20050307              0
SAM    20050308              0
SAM    20050309              0
SAM    20050310              1
SAM    20050311              0
SAM    20050312              0
SAM    20050313              0
SAM    20050314              0
SAM    20050315              1
SAM    20050316              1
SAM    20050317              1
SAM    20050318              1
SAM    20050319              0
SAM    20050320              0
SAM    20050321              1
SAM    20050322              0
SAM    20050323              0
SAM    20050324              0
SAM    20050325              0
SAM    20050326              0
SAM    20050327              0
SAM    20050328              0
SAM    20050329              0
SAM    20050330              0
SAM    20050331              0
SAM    20050401              0
SAM    20050402              0
SAM    20050403              1
SAM    20050404              1
SAM    20050405              1
SAM    20050406              0
SAM    20050407              0
SAM    20050408              0
SAM    20050409              0
SAM    20050410              0
SAM    20050411              0
SAM    20050412              0
SAM    20050413              0
SAM    20050414              0
SAM    20050415              0
SAM    20050416              0
SAM    20050417              0
SAM    20050418              0
SAM    20050419              0
SAM    20050420              0
SAM    20050421              0
SAM    20050422              1
SAM    20050423              0
SAM    20050424              0
SAM    20050425              0
SAM    20050426              0
SAM    20050427              0
SAM    20050428              0
SAM    20050429              0
SAM    20050430              0
SAM    20050501              0
SAM    20050502              0
SAM    20050503              0
SAM    20050504              0
SAM    20050505              0
SAM    20050506              0
SAM    20050507              0
SAM    20050508              0
SAM    20050509              0
SAM    20050510              0
SAM    20050511              1
SAM    20050512              0
SAM    20050513              0
SAM    20050514              0
SAM    20050515              0
SAM    20050516              0
SAM    20050517              0
SAM    20050518              0
SAM    20050519              0
SAM    20050520              0
SAM    20050521              0
SAM    20050522              0
SAM    20050523              0
SAM    20050524              0
SAM    20050525              1
SAM    20050526              0
SAM    20050527              0
SAM    20050528              0
SAM    20050529              0
SAM    20050530              0
SAM    20050531              0
SAM    20050601              0
SAM    20050602              0
SAM    20050603              1
SAM    20050604              0
SAM    20050605              0
SAM    20050606              0
SAM    20050607              0
SAM    20050608              0
SAM    20050609              0
SAM    20050610              0
SAM    20050611              0
SAM    20050612              0
SAM    20050613              0
SAM    20050614              0
SAM    20050615              0
SAM    20050616              0
SAM    20050617              0
SAM    20050618              0
SAM    20050619              1
SAM    20050620              0
SAM    20050621              0
SAM    20050622              0
SAM    20050623              0
SAM    20050624              0
SAM    20050625              0
SAM    20050626              0
SAM    20050627              0
SAM    20050628              0
SAM    20050629              0
SAM    20050630              0
SAM    20050701              0
SAM    20050702              0
SAM    20050703              0
SAM    20050704              0
SAM    20050705              0
SAM    20050706              0
SAM    20050707              0
SAM    20050708              0
SAM    20050709              0
SAM    20050710              0
SAM    20050711              0
SAM    20050712              0
SAM    20050713              0
SAM    20050714              1
SAM    20050715              0
SAM    20050716              0
SAM    20050717              0
SAM    20050718              0
SAM    20050719              0
SAM    20050720              1
SAM    20050721              0
SAM    20050722              0
SAM    20050723              0
SAM    20050724              0
SAM    20050725              0
SAM    20050726              0
SAM    20050727              0
SAM    20050728              0
SAM    20050729              0
SAM    20050730              0
SAM    20050731              0
SAM    20050801              0
SAM    20050802              0
SAM    20050803              0
SAM    20050804              0
SAM    20050805              0
SAM    20050806              0
SAM    20050807              0
SAM    20050808              0
SAM    20050809              0
SAM    20050810              0
SAM    20050811              0
SAM    20050812              0
SAM    20050813              0
SAM    20050814              0
SAM    20050815              0
SAM    20050816              0
SAM    20050817              0
SAM    20050818              0
SAM    20050819              0
SAM    20050820              0
SAM    20050821              0
SAM    20050822              0
SAM    20050823              0
SAM    20050824              0
SAM    20050825              0
SAM    20050826              0
SAM    20050827              0
SAM    20050828              0
SAM    20050829              0
SAM    20050830              0
SAM    20050831              0
SAM    20050901              0
SAM    20050902              0
SAM    20050903              0
SAM    20050904              0
SAM    20050905              0
SAM    20050906              0
SAM    20050907              0
SAM    20050908              0
SAM    20050909              0
SAM    20050910              0
SAM    20050911              0
SAM    20050912              0
SAM    20050913              0
SAM    20050914              0
SAM    20050915              0
SAM    20050916              0
SAM    20050917              0
SAM    20050918              0
SAM    20050919              0
SAM    20050920              0
SAM    20050921              0
SAM    20050922              0
SAM    20050923              0
SAM    20050924              0
SAM    20050925              0
SAM    20050926              0
SAM    20050927              0
SAM    20050928              0
SAM    20050929              0
SAM    20050930              0
SAM    20051001              0
SAM    20051002              0
SAM    20051003              0
SAM    20051004              0
SAM    20051005              0
SAM    20051006              0
SAM    20051007              0
SAM    20051008              0
SAM    20051009              0
SAM    20051010              0
SAM    20051011              0
SAM    20051012              1
SAM    20051013              1
SAM    20051014              1
SAM    20051015              1
SAM    20051016              1
SAM    20051017              1
SAM    20051018              0
SAM    20051019              0
SAM    20051020              0
SAM    20051021              0
SAM    20051022              0
SAM    20051023              0
SAM    20051024              0
SAM    20051025              0
SAM    20051026              0
SAM    20051027              1
SAM    20051028              1
SAM    20051029              1
SAM    20051030              1
SAM    20051031              1
SAM    20051101              0
SAM    20051102              0
SAM    20051103              0
SAM    20051104              0
SAM    20051105              0
SAM    20051106              0
SAM    20051107              0
SAM    20051108              0
SAM    20051109              0
SAM    20051110              0
SAM    20051111              1
SAM    20051112              1
SAM    20051113              0
SAM    20051114              0
SAM    20051115              0
SAM    20051116              0
SAM    20051117              0
SAM    20051118              0
SAM    20051119              1
SAM    20051120              0
SAM    20051121              0
SAM    20051122              0
SAM    20051123              1
SAM    20051124              0
SAM    20051125              0
SAM    20051126              0
SAM    20051127              0
SAM    20051128              0
SAM    20051129              0
SAM    20051130              0
SAM    20051201              1
SAM    20051202              0
SAM    20051203              0
SAM    20051204              0
SAM    20051205              0
SAM    20051206              0
SAM    20051207              0
SAM    20051208              0
SAM    20051209              0
SAM    20051210              0
SAM    20051211              1
SAM    20051212              0
SAM    20051213              0
SAM    20051214              1
SAM    20051215              1
SAM    20051216              0
SAM    20051217              0
SAM    20051218              0
SAM    20051219              0
SAM    20051220              0
SAM    20051221              0
SAM    20051222              0
SAM    20051223              0
SAM    20051224              0
SAM    20051225              0
SAM    20051226              0
SAM    20051227              0
SAM    20051228              0
SAM    20051229              0
SAM    20051230              1
SAM    20051231              0
SAM    20060101              0
SAM    20060102              0
SAM    20060103              0
SAM    20060104              0
SAM    20060105              0
SAM    20060106              1
SAM    20060107              0
SAM    20060108              0
SAM    20060109              1
SAM    20060110              1
SAM    20060111              1
SAM    20060112              0
SAM    20060113              1
SAM    20060114              1
SAM    20060115              1
SAM    20060116              1
SAM    20060117              0
SAM    20060118              0
SAM    20060119              1
SAM    20060120              1
SAM    20060121              0
SAM    20060122              0
SAM    20060123              1
SAM    20060124              1
SAM    20060125              0
SAM    20060126              0
SAM    20060127              0
SAM    20060128              0
SAM    20060129              0
SAM    20060130              1
SAM    20060131              0
SAM    20060201              0
SAM    20060202              1
SAM    20060203              1
SAM    20060204              0
SAM    20060205              1
SAM    20060206              0
SAM    20060207              0
SAM    20060208              0
SAM    20060209              0
SAM    20060210              0
SAM    20060211              1
SAM    20060212              0
SAM    20060213              1
SAM    20060214              1
SAM    20060215              0
SAM    20060216              0
SAM    20060217              0
SAM    20060218              0
SAM    20060219              0
SAM    20060220              0
SAM    20060221              0
SAM    20060222              0
SAM    20060223              0
SAM    20060224              0
SAM    20060225              0
SAM    20060226              0
SAM    20060227              1
SAM    20060228              0
SAM    20060301              0
SAM    20060302              0
SAM    20060303              0
SAM    20060304              0
SAM    20060305              0
SAM    20060306              0
SAM    20060307              0
SAM    20060308              0
SAM    20060309              0
SAM    20060310              0
SAM    20060311              0
SAM    20060312              0
SAM    20060313              1
SAM    20060314              0
SAM    20060315              1
SAM    20060316              0
SAM    20060317              1
SAM    20060318              1
SAM    20060319              0
SAM    20060320              0
SAM    20060321              0
SAM    20060322              0
SAM    20060323              0
SAM    20060324              0
SAM    20060325              0
SAM    20060326              0
SAM    20060327              0
SAM    20060328              0
SAM    20060329              0
SAM    20060330              0
SAM    20060331              0
SAM    20060401              0
SAM    20060402              0
SAM    20060403              0
SAM    20060404              0
SAM    20060405              0
SAM    20060406              0
SAM    20060407              1
SAM    20060408              1
SAM    20060409              0
SAM    20060410              0
SAM    20060411              0
SAM    20060412              0
SAM    20060413              0
SAM    20060414              1
SAM    20060415              0
SAM    20060416              0
SAM    20060417              0
SAM    20060418              0
SAM    20060419              0
SAM    20060420              0
SAM    20060421              0
SAM    20060422              0
SAM    20060423              0
SAM    20060424              0
SAM    20060425              0
SAM    20060426              0
SAM    20060427              0
SAM    20060428              0
SAM    20060429              0
SAM    20060430              0
SAM    20060501              0
SAM    20060502              0
SAM    20060503              1
SAM    20060504              0
SAM    20060505              0
SAM    20060506              0
SAM    20060507              0
SAM    20060508              0
SAM    20060509              0
SAM    20060510              0
SAM    20060511              0
SAM    20060512              0
SAM    20060513              0
SAM    20060514              0
SAM    20060515              0
SAM    20060516              0
SAM    20060517              0
SAM    20060518              0
SAM    20060519              0
SAM    20060520              0
SAM    20060521              0
SAM    20060522              0
SAM    20060523              0
SAM    20060524              0
SAM    20060525              0
SAM    20060526              0
SAM    20060527              0
SAM    20060528              0
SAM    20060529              0
SAM    20060530              0
SAM    20060531              0
SAM    20060601              0
SAM    20060602              0
SAM    20060603              0
SAM    20060604              0
SAM    20060605              0
SAM    20060606              0
SAM    20060607              1
SAM    20060608              0
SAM    20060609              0
SAM    20060610              0
SAM    20060611              1
SAM    20060612              0
SAM    20060613              0
SAM    20060614              0
SAM    20060615              0
SAM    20060616              0
SAM    20060617              0
SAM    20060618              0
SAM    20060619              0
SAM    20060620              0
SAM    20060621              0
SAM    20060622              0
SAM    20060623              0
SAM    20060624              0
SAM    20060625              0
SAM    20060626              0
SAM    20060627              0
SAM    20060628              0
SAM    20060629              0
SAM    20060630              0
SAM    20060701              1
SAM    20060702              0
SAM    20060703              0
SAM    20060704              0
SAM    20060705              0
SAM    20060706              0
SAM    20060707              0
SAM    20060708              0
SAM    20060709              0
SAM    20060710              0
SAM    20060711              0
SAM    20060712              0
SAM    20060713              0
SAM    20060714              0
SAM    20060715              0
SAM    20060716              0
SAM    20060717              0
SAM    20060718              0
SAM    20060719              0
SAM    20060720              0
SAM    20060721              0
SAM    20060722              0
SAM    20060723              0
SAM    20060724              0
SAM    20060725              0
SAM    20060726              0
SAM    20060727              0
SAM    20060728              0
SAM    20060729              0
SAM    20060730              0
SAM    20060731              0
SAM    20060801              0
SAM    20060802              0
SAM    20060803              0
SAM    20060804              0
SAM    20060805              0
SAM    20060806              0
SAM    20060807              0
SAM    20060808              0
SAM    20060809              0
SAM    20060810              0
SAM    20060811              0
SAM    20060812              0
SAM    20060813              0
SAM    20060814              0
SAM    20060815              0
SAM    20060816              0
SAM    20060817              0
SAM    20060818              0
SAM    20060819              0
SAM    20060820              0
SAM    20060821              0
SAM    20060822              0
SAM    20060823              0
SAM    20060824              0
SAM    20060825              0
SAM    20060826              0
SAM    20060827              0
SAM    20060828              0
SAM    20060829              0
SAM    20060830              0
SAM    20060831              1
SAM    20060901              1
SAM    20060902              0
SAM    20060903              0
SAM    20060904              0
SAM    20060905              1
SAM    20060906              0
SAM    20060907              0
SAM    20060908              0
SAM    20060909              1
SAM    20060910              0
SAM    20060911              0
SAM    20060912              0
SAM    20060913              0
SAM    20060914              0
SAM    20060915              0
SAM    20060916              0
SAM    20060917              0
SAM    20060918              0
SAM    20060919              0
SAM    20060920              0
SAM    20060921              1
SAM    20060922              0
SAM    20060923              0
SAM    20060924              0
SAM    20060925              0
SAM    20060926              0
SAM    20060927              0
SAM    20060928              0
SAM    20060929              0
SAM    20060930              0
SAM    20061001              0
SAM    20061002              0
SAM    20061003              0
SAM    20061004              0
SAM    20061005              0
SAM    20061006              0
SAM    20061007              0
SAM    20061008              1
SAM    20061009              1
SAM    20061010              1
SAM    20061011              1
SAM    20061012              0
SAM    20061013              0
SAM    20061014              0
SAM    20061015              0
SAM    20061016              1
SAM    20061017              0
SAM    20061018              0
SAM    20061019              0
SAM    20061020              0
SAM    20061021              0
SAM    20061022              0
SAM    20061023              0
SAM    20061024              0
SAM    20061025              0
SAM    20061026              1
SAM    20061027              1
SAM    20061028              0
SAM    20061029              0
SAM    20061030              0
SAM    20061031              0
SAM    20061101              0
SAM    20061102              0
SAM    20061103              0
SAM    20061104              1
SAM    20061105              0
SAM    20061106              0
SAM    20061107              0
SAM    20061108              0
SAM    20061109              0
SAM    20061110              0
SAM    20061111              0
SAM    20061112              0
SAM    20061113              0
SAM    20061114              0
SAM    20061115              0
SAM    20061116              0
SAM    20061117              0
SAM    20061118              0
SAM    20061119              0
SAM    20061120              0
SAM    20061121              0
SAM    20061122              0
SAM    20061123              0
SAM    20061124              0
SAM    20061125              0
SAM    20061126              0
SAM    20061127              1
SAM    20061128              0
SAM    20061129              1
SAM    20061130              0
SAM    20061201              1
SAM    20061202              0
SAM    20061203              0
SAM    20061204              0
SAM    20061205              0
SAM    20061206              0
SAM    20061207              0
SAM    20061208              0
SAM    20061209              0
SAM    20061210              0
SAM    20061211              0
SAM    20061212              0
SAM    20061213              1
SAM    20061214              1
SAM    20061215              0
SAM    20061216              0
SAM    20061217              0
SAM    20061218              0
SAM    20061219              0
SAM    20061220              1
SAM    20061221              1
SAM    20061222              1
SAM    20061223              1
SAM    20061224              1
SAM    20061225              1
SAM    20061226              1
SAM    20061227              1
SAM    20061228              0
SAM    20061229              1
SAM    20061230              0
SAM    20061231              0
SAM    20070101              0
SAM    20070102              0
SAM    20070103              0
SAM    20070104              0
SAM    20070105              0
SAM    20070106              0
SAM    20070107              0
SAM    20070108              0
SAM    20070109              0
SAM    20070110              0
SAM    20070111              0
