 

stn    time           tre200dx
RAG    19390101            4.3
RAG    19390102            7.6
RAG    19390103            3.0
RAG    19390104            2.5
RAG    19390105            4.3
RAG    19390106            2.4
RAG    19390107           -0.7
RAG    19390108            1.9
RAG    19390109            2.8
RAG    19390110            2.2
RAG    19390111            9.7
RAG    19390112           10.6
RAG    19390113            3.3
RAG    19390114            9.1
RAG    19390115           11.6
RAG    19390116           15.6
RAG    19390117           16.5
RAG    19390118           16.8
RAG    19390119           11.1
RAG    19390120            7.1
RAG    19390121           11.7
RAG    19390122           12.5
RAG    19390123            7.3
RAG    19390124            3.2
RAG    19390125            4.3
RAG    19390126            4.3
RAG    19390127           -0.2
RAG    19390128            1.8
RAG    19390129            7.7
RAG    19390130           -1.4
RAG    19390131           -0.8
RAG    19390201           -1.7
RAG    19390202           -3.0
RAG    19390203           -3.4
RAG    19390204           -0.7
RAG    19390205           -1.4
RAG    19390206           -1.2
RAG    19390207            2.5
RAG    19390208            4.5
RAG    19390209            9.8
RAG    19390210           10.0
RAG    19390211            8.6
RAG    19390212            8.2
RAG    19390213            3.9
RAG    19390214            2.2
RAG    19390215            2.8
RAG    19390216            5.6
RAG    19390217            6.6
RAG    19390218            6.2
RAG    19390219            6.0
RAG    19390220            5.7
RAG    19390221            4.1
RAG    19390222            5.7
RAG    19390223           10.0
RAG    19390224           17.2
RAG    19390225           12.3
RAG    19390226           11.3
RAG    19390227            7.9
RAG    19390228            8.8
RAG    19390301            8.0
RAG    19390302           11.5
RAG    19390303           13.6
RAG    19390304           11.9
RAG    19390305           10.3
RAG    19390306           12.9
RAG    19390307           11.8
RAG    19390308            3.1
RAG    19390309            0.8
RAG    19390310            2.9
RAG    19390311            2.2
RAG    19390312            2.0
RAG    19390313            0.7
RAG    19390314           -1.0
RAG    19390315            2.2
RAG    19390316            0.2
RAG    19390317           -1.5
RAG    19390318           -1.5
RAG    19390319           -1.2
RAG    19390320            0.8
RAG    19390321            2.8
RAG    19390322            4.2
RAG    19390323            3.5
RAG    19390324            4.2
RAG    19390325            3.6
RAG    19390326            4.2
RAG    19390327            4.6
RAG    19390328            5.0
RAG    19390329            8.3
RAG    19390330           12.9
RAG    19390331           15.4
RAG    19390401           16.5
RAG    19390402           16.4
RAG    19390403           10.6
RAG    19390404           16.8
RAG    19390405           18.7
RAG    19390406           18.7
RAG    19390407           17.6
RAG    19390408           15.0
RAG    19390409           16.2
RAG    19390410           17.3
RAG    19390411           23.6
RAG    19390412           22.5
RAG    19390413           22.7
RAG    19390414           20.8
RAG    19390415           18.4
RAG    19390416           18.1
RAG    19390417           18.1
RAG    19390418            7.6
RAG    19390419           10.1
RAG    19390420           15.5
RAG    19390421           18.0
RAG    19390422           20.4
RAG    19390423           13.4
RAG    19390424           12.6
RAG    19390425           14.2
RAG    19390426           18.2
RAG    19390427           10.8
RAG    19390428            9.6
RAG    19390429           12.5
RAG    19390430            9.7
RAG    19390501           16.4
RAG    19390502           16.5
RAG    19390503           12.4
RAG    19390504           12.8
RAG    19390505           12.3
RAG    19390506           19.5
RAG    19390507           15.0
RAG    19390508           10.5
RAG    19390509            9.1
RAG    19390510           14.7
RAG    19390511           14.1
RAG    19390512           10.3
RAG    19390513           12.5
RAG    19390514            9.7
RAG    19390515           15.4
RAG    19390516           10.3
RAG    19390517           10.4
RAG    19390518           15.0
RAG    19390519           14.5
RAG    19390520           13.8
RAG    19390521            9.5
RAG    19390522           10.3
RAG    19390523           10.7
RAG    19390524           17.8
RAG    19390525           12.9
RAG    19390526           14.5
RAG    19390527           15.9
RAG    19390528           15.4
RAG    19390529           10.8
RAG    19390530           17.6
RAG    19390531           18.3
RAG    19390601           19.6
RAG    19390602           23.6
RAG    19390603           24.0
RAG    19390604           26.5
RAG    19390605           26.4
RAG    19390606           27.1
RAG    19390607           26.3
RAG    19390608           27.5
RAG    19390609           24.3
RAG    19390610           24.5
RAG    19390611           23.7
RAG    19390612           15.5
RAG    19390613            9.8
RAG    19390614           10.5
RAG    19390615           14.5
RAG    19390616           21.5
RAG    19390617           18.0
RAG    19390618           14.4
RAG    19390619           18.2
RAG    19390620           15.1
RAG    19390621           21.0
RAG    19390622           25.5
RAG    19390623           26.2
RAG    19390624           23.5
RAG    19390625           21.3
RAG    19390626           18.9
RAG    19390627           19.5
RAG    19390628           24.5
RAG    19390629           27.8
RAG    19390630           25.7
RAG    19390701           19.2
RAG    19390702           15.5
RAG    19390703           20.8
RAG    19390704           25.8
RAG    19390705           29.7
RAG    19390706           21.8
RAG    19390707           23.5
RAG    19390708           27.0
RAG    19390709           26.5
RAG    19390710           19.0
RAG    19390711           19.6
RAG    19390712           20.9
RAG    19390713           24.1
RAG    19390714           25.2
RAG    19390715           22.5
RAG    19390716           19.8
RAG    19390717           19.6
RAG    19390718           24.0
RAG    19390719           28.5
RAG    19390720           23.4
RAG    19390721           22.5
RAG    19390722           17.2
RAG    19390723           19.0
RAG    19390724           16.2
RAG    19390725           12.5
RAG    19390726           17.7
RAG    19390727           14.5
RAG    19390728           21.5
RAG    19390729           25.5
RAG    19390730           29.0
RAG    19390731           25.0
RAG    19390801           22.0
RAG    19390802           22.5
RAG    19390803           22.0
RAG    19390804           18.4
RAG    19390805           16.7
RAG    19390806           17.9
RAG    19390807           20.1
RAG    19390808           18.9
RAG    19390809           21.3
RAG    19390810           23.4
RAG    19390811           24.5
RAG    19390812           23.5
RAG    19390813           20.4
RAG    19390814           21.6
RAG    19390815           20.7
RAG    19390816           20.7
RAG    19390817           21.5
RAG    19390818           23.1
RAG    19390819           23.8
RAG    19390820           22.7
RAG    19390821           24.2
RAG    19390822           23.2
RAG    19390823           21.6
RAG    19390824           23.4
RAG    19390825           20.6
RAG    19390826           21.7
RAG    19390827           22.6
RAG    19390828           23.4
RAG    19390829           23.3
RAG    19390830           23.5
RAG    19390831           25.3
RAG    19390901           24.0
RAG    19390902           22.0
RAG    19390903           24.6
RAG    19390904           21.4
RAG    19390905           15.4
RAG    19390906           20.6
RAG    19390907           22.5
RAG    19390908           23.3
RAG    19390909           22.0
RAG    19390910           23.4
RAG    19390911           24.2
RAG    19390912           17.6
RAG    19390913           13.8
RAG    19390914           17.3
RAG    19390915           17.2
RAG    19390916           15.2
RAG    19390917           14.5
RAG    19390918           15.2
RAG    19390919           15.0
RAG    19390920           14.8
RAG    19390921           14.0
RAG    19390922           16.6
RAG    19390923           16.0
RAG    19390924           13.1
RAG    19390925           13.8
RAG    19390926           14.9
RAG    19390927           11.2
RAG    19390928           10.6
RAG    19390929           12.8
RAG    19390930           14.1
RAG    19391001           16.3
RAG    19391002           15.9
RAG    19391003           11.3
RAG    19391004           10.4
RAG    19391005           10.1
RAG    19391006           12.1
RAG    19391007            9.4
RAG    19391008            7.1
RAG    19391009           12.6
RAG    19391010           11.4
RAG    19391011           14.2
RAG    19391012           16.5
RAG    19391013           15.2
RAG    19391014           22.4
RAG    19391015           23.5
RAG    19391016           17.3
RAG    19391017           22.3
RAG    19391018           23.2
RAG    19391019           22.6
RAG    19391020           11.8
RAG    19391021            8.0
RAG    19391022            5.8
RAG    19391023            4.2
RAG    19391024            9.8
RAG    19391025            7.6
RAG    19391026            7.0
RAG    19391027            2.5
RAG    19391028            3.4
RAG    19391029            7.8
RAG    19391030           10.4
RAG    19391031            9.6
RAG    19391101            5.6
RAG    19391102            3.9
RAG    19391103           15.1
RAG    19391104           16.6
RAG    19391105           10.2
RAG    19391106           12.7
RAG    19391107           19.5
RAG    19391108           22.3
RAG    19391109           17.4
RAG    19391110           16.4
RAG    19391111           18.7
RAG    19391112           15.8
RAG    19391113            9.3
RAG    19391114            7.5
RAG    19391115           11.4
RAG    19391116           10.1
RAG    19391117            6.9
RAG    19391118            9.2
RAG    19391119            8.9
RAG    19391120            6.5
RAG    19391121            3.2
RAG    19391122           -0.2
RAG    19391123            0.6
RAG    19391124            3.0
RAG    19391125            4.0
RAG    19391126            7.0
RAG    19391127            8.3
RAG    19391128            7.7
RAG    19391129            5.3
RAG    19391130            9.6
RAG    19391201            9.8
RAG    19391202            8.7
RAG    19391203            6.8
RAG    19391204            9.3
RAG    19391205            8.0
RAG    19391206            3.4
RAG    19391207            1.1
RAG    19391208            0.0
RAG    19391209            2.9
RAG    19391210            5.2
RAG    19391211            3.4
RAG    19391212            0.4
RAG    19391213           -0.6
RAG    19391214            0.0
RAG    19391215           -0.2
RAG    19391216            0.0
RAG    19391217           -0.4
RAG    19391218            9.0
RAG    19391219           11.5
RAG    19391220           -2.3
RAG    19391221           -1.4
RAG    19391222            0.4
RAG    19391223           -0.6
RAG    19391224           -0.6
RAG    19391225           -2.5
RAG    19391226           -4.3
RAG    19391227           -0.6
RAG    19391228           -2.4
RAG    19391229           -5.2
RAG    19391230          -10.6
RAG    19391231           -3.6
RAG    19400101           -3.3
RAG    19400102           -6.6
RAG    19400103           -2.6
RAG    19400104            7.4
RAG    19400105            1.2
RAG    19400106            0.8
RAG    19400107            0.8
RAG    19400108            5.2
RAG    19400109            3.6
RAG    19400110           -3.4
RAG    19400111           -8.6
RAG    19400112           -9.2
RAG    19400113           -4.8
RAG    19400114           -4.4
RAG    19400115           -4.8
RAG    19400116           -3.9
RAG    19400117           -2.8
