 

stn    time           nto002d0  tre200d0  hns000d0  rre150d0  tre200dx
CHU    19390101              0       0.5         1       1.1         -
CHU    19390102              0       1.9         0       1.5         -
CHU    19390103              0       0.6         2       1.1         -
CHU    19390104              0      -2.9         0       0.0         -
CHU    19390105              0       1.1         0       0.2         -
CHU    19390106              0      -1.4         0       0.0         -
CHU    19390107              0      -3.6         0       0.0         -
CHU    19390108              0       0.3         0       0.0         -
CHU    19390109              1       1.0         0       0.0         -
CHU    19390110              0      -0.7         0       0.0         -
CHU    19390111              0       3.6         0       0.0         -
CHU    19390112              0       3.8         1      15.4         -
CHU    19390113              0       0.3         0       0.0         -
CHU    19390114              0       2.3         0       0.0         -
CHU    19390115              0       5.3         0       0.0         -
CHU    19390116              0      10.5         0       0.0         -
CHU    19390117              0      10.4         0       0.0         -
CHU    19390118              0      11.4         0       0.2         -
CHU    19390119              0       5.4         0       5.0         -
CHU    19390120              0       5.8         0       0.0         -
CHU    19390121              0       7.1         0       0.0         -
CHU    19390122              0       6.9         0       0.9         -
CHU    19390123              0       3.2         2       9.8         -
CHU    19390124              0       1.7         0       0.0         -
CHU    19390125              0       0.9         0       0.0         -
CHU    19390126              0       0.1         1       1.8         -
CHU    19390127              0      -1.2         1       0.5         -
CHU    19390128              1      -1.7         0       0.0         -
CHU    19390129              0       0.9         0       0.0         -
CHU    19390130              0      -2.4         0       0.0         -
CHU    19390131              0      -3.2         0       0.0         -
CHU    19390201              1      -5.2         0       0.0         -
CHU    19390202              1      -5.5         0       0.0         -
CHU    19390203              1      -3.9         0       0.0         -
CHU    19390204              1      -1.9         0       0.0         -
CHU    19390205              0       0.5         0       0.0         -
CHU    19390206              1      -0.3         0       0.0         -
CHU    19390207              1       1.5         0       0.0         -
CHU    19390208              1       4.1         0       0.0         -
CHU    19390209              0       6.1         0       0.0         -
CHU    19390210              0       3.1         0       6.8         -
CHU    19390211              0       2.9         0       0.0         -
CHU    19390212              0       2.8         0       0.0         -
CHU    19390213              0       2.2         0       0.2         -
CHU    19390214              0      -0.9         0       0.0         -
CHU    19390215              1      -1.6         0       0.0         -
CHU    19390216              1      -0.1         0       0.0         -
CHU    19390217              0       1.7         1       0.6         -
CHU    19390218              0       2.6         0       2.9         -
CHU    19390219              0       2.5         1       3.3         -
CHU    19390220              0       3.1         0       0.0         -
CHU    19390221              0       1.1         0       0.0         -
CHU    19390222              1       1.0         0       0.0         -
CHU    19390223              0       4.4         0       0.0         -
CHU    19390224              0       8.0         0       0.0         -
CHU    19390225              0       7.5         0       0.0         -
CHU    19390226              0       7.5         0       0.2         -
CHU    19390227              0       4.4         0       1.0         -
CHU    19390228              0       5.3         0       0.8         -
CHU    19390301              0       3.3         0       0.0         -
CHU    19390302              1       3.6         0       0.0         -
CHU    19390303              1       6.4         0       0.0         -
CHU    19390304              0       6.3         0       0.0         -
CHU    19390305              0       6.7         0       4.7         -
CHU    19390306              0       9.3         0       9.8         -
CHU    19390307              0       7.1         0       1.4         -
CHU    19390308              0       0.6        13      17.4         -
CHU    19390309              0       0.8        12       9.8         -
CHU    19390310              0       0.6        11       6.2         -
CHU    19390311              0      -0.4         1       3.0         -
CHU    19390312              0      -1.3         0       0.0         -
CHU    19390313              0      -2.1         0       0.0         -
CHU    19390314              0      -2.7        30      22.6         -
CHU    19390315              0      -2.9        23      14.0         -
CHU    19390316              0      -1.7         0       0.0         -
CHU    19390317              0      -3.2         1       1.0         -
CHU    19390318              0      -2.7         0       0.0         -
CHU    19390319              0      -3.2         0       0.0         -
CHU    19390320              0      -1.5         0       0.0         -
CHU    19390321              0      -0.9         4       4.0         -
CHU    19390322              0       0.8         1       0.4         -
CHU    19390323              0       1.2         0       0.0         -
CHU    19390324              0       1.6         0       0.0         -
CHU    19390325              0       1.6         0       0.0         -
CHU    19390326              0       1.8         0       0.0         -
CHU    19390327              0       2.2         0       0.6         -
CHU    19390328              0       2.3         0       0.1         -
CHU    19390329              0       3.2         0       0.0         -
CHU    19390330              0       6.2         0       0.0         -
CHU    19390331              0       7.9         0       0.0         -
CHU    19390401              1       9.1         0       0.0         -
CHU    19390402              0      10.3         0       1.7         -
CHU    19390403              0       8.1         0       0.1         -
CHU    19390404              0      12.4         0       0.0         -
CHU    19390405              0      13.8         0       0.0         -
CHU    19390406              0      12.5         0       0.8         -
CHU    19390407              0      13.8         0       0.0         -
CHU    19390408              0      11.8         0       0.0         -
CHU    19390409              0      12.0         0       0.0         -
CHU    19390410              1      11.3         0       0.0         -
CHU    19390411              1      14.8         0       0.0         -
CHU    19390412              1      14.8         0       0.0         -
CHU    19390413              1      15.5         0       0.0         -
CHU    19390414              0      15.7         0       0.0         -
CHU    19390415              0      10.3         0       0.0         -
CHU    19390416              0      12.1         0       0.0         -
CHU    19390417              0       9.8         0       1.7         -
CHU    19390418              0       5.1         0       2.7         -
CHU    19390419              0       5.9         0       0.0         -
CHU    19390420              1       8.5         0       0.0         -
CHU    19390421              1      11.3         0       0.0         -
CHU    19390422              0      13.9         0       1.1         -
CHU    19390423              0       7.4         0       0.3         -
CHU    19390424              0       7.8         0       0.0         -
CHU    19390425              0       9.9         0       1.7         -
CHU    19390426              0      11.5         0       0.0         -
CHU    19390427              0       6.5         0      10.0         -
CHU    19390428              0       7.2         0       4.0         -
CHU    19390429              0       7.8         0       1.5         -
CHU    19390430              0       7.6         0       1.2         -
CHU    19390501              0      10.3         0       0.0         -
CHU    19390502              0      11.2         0       6.0         -
CHU    19390503              0       8.6         0       0.1         -
CHU    19390504              0      10.0         0       0.0         -
CHU    19390505              0      10.1         0       0.0         -
CHU    19390506              0      13.3         0       0.2         -
CHU    19390507              0      11.1         0       3.8         -
