 

stn    time           nto002d0  tre200dx  tre200d0  rre150d0  hns000d0
ALT    19390101              0       5.2       1.0       1.0         -
ALT    19390102              0       6.3       3.7       2.6         -
ALT    19390103              0       3.8       1.3       0.1         -
ALT    19390104              0       3.6      -1.8       0.0         -
ALT    19390105              0       4.5       2.3       2.7         -
ALT    19390106              0       1.6      -0.2       0.0         -
ALT    19390107              0       1.1      -1.4       0.0         -
ALT    19390108              0       4.7       0.7       0.0         -
ALT    19390109              0       0.7      -2.8       0.1         -
ALT    19390110              0       0.3      -3.2       0.0         -
ALT    19390111              0       9.2       4.5       0.0         -
ALT    19390112              0      11.2       5.8      10.9         -
ALT    19390113              0       5.5       1.1       0.0         -
ALT    19390114              0       7.5       3.1       0.0         -
ALT    19390115              0      14.8       9.4       0.0         -
ALT    19390116              0      16.0      15.2       0.0         -
ALT    19390117              0      17.0      15.9       0.0         -
ALT    19390118              0      16.4      12.5       1.3         -
ALT    19390119              0       8.3       6.5       2.5         -
ALT    19390120              0       7.1       3.9       0.0         -
ALT    19390121              0       8.0       6.1       0.0         -
ALT    19390122              0       9.5       6.1       3.0         -
ALT    19390123              0       6.9       4.3      18.6         -
ALT    19390124              0       4.8       3.0       4.7         -
ALT    19390125              0       7.0       3.7       0.0         -
ALT    19390126              0       3.7       1.5       5.8         -
ALT    19390127              0       1.4      -1.0       0.8         -
ALT    19390128              0       1.1      -3.0       0.0         -
ALT    19390129              0       1.3      -2.5       0.0         -
ALT    19390130              0       1.8      -0.4       0.0         -
ALT    19390131              0       1.3      -0.4       0.0         -
ALT    19390201              0       1.5      -1.0       0.0         -
ALT    19390202              0       0.7      -1.4       0.0         -
ALT    19390203              0       0.8      -2.8       0.0         -
ALT    19390204              0       0.5      -3.1       0.0         -
ALT    19390205              0       1.7      -1.5       0.0         -
ALT    19390206              0       0.6      -1.6       0.0         -
ALT    19390207              0       1.3      -2.0       0.2         -
ALT    19390208              0       1.3      -1.9       0.2         -
ALT    19390209              0       2.9      -0.1       0.0         -
ALT    19390210              0       8.1       3.4       0.2         -
ALT    19390211              0       7.3       1.8       0.0         -
ALT    19390212              0       8.1       3.4       0.0         -
ALT    19390213              0       5.4       3.3       6.1         -
ALT    19390214              0       3.3       0.6       1.0         -
ALT    19390215              1       2.1      -1.8       0.0         -
ALT    19390216              1       4.0      -0.8       0.0         -
ALT    19390217              0       5.2       1.5       0.3         -
ALT    19390218              0       6.3       3.1       2.7         -
ALT    19390219              0       6.0       3.9       5.6         -
ALT    19390220              0       8.6       4.3       0.4         -
ALT    19390221              0       3.7       2.4       0.0         -
ALT    19390222              0       5.8       0.5       0.0         -
ALT    19390223              0      11.0       8.8       0.0         -
ALT    19390224              0      15.0      13.1       0.0         -
ALT    19390225              0      11.1       7.2       0.0         -
ALT    19390226              0      10.7       6.7       2.7         -
ALT    19390227              0       5.8       3.3       2.6         -
ALT    19390228              0       7.0       1.9       1.5         -
ALT    19390301              0       6.0       3.5       0.0         -
ALT    19390302              0       9.6       3.5       0.0         -
ALT    19390303              1      12.0       3.0       0.0         -
ALT    19390304              1      14.4       4.2       0.0         -
ALT    19390305              0       8.0       6.4       6.4         -
ALT    19390306              0      13.0       9.5       8.0         -
ALT    19390307              0      13.5       6.8      33.1         -
ALT    19390308              0       5.8       3.2      11.8         -
ALT    19390309              0       2.5       0.8      12.6         -
ALT    19390310              0       4.0       1.7       7.9         -
ALT    19390311              0       3.9       0.9       0.4         -
ALT    19390312              0       3.5       0.5       0.0         -
ALT    19390313              0       3.4      -1.0       0.0         -
ALT    19390314              0       2.8      -1.4      24.1         -
ALT    19390315              0       2.8       0.0      10.3         -
ALT    19390316              0       1.6       0.1       0.9         -
ALT    19390317              0       1.2       0.1      20.1         -
ALT    19390318              0       1.5      -1.4       0.5         -
ALT    19390319              0       2.0      -1.8       0.0         -
ALT    19390320              0       2.8      -1.2       0.0         -
ALT    19390321              0       2.8       1.1       2.1         -
ALT    19390322              0       4.0       1.6       3.5         -
ALT    19390323              0       4.3       0.5       3.1         -
ALT    19390324              0       5.3       1.0       0.9         -
ALT    19390325              0       5.0       1.9       0.2         -
ALT    19390326              0       5.8       1.7       0.0         -
ALT    19390327              0       4.5       2.6       1.1         -
ALT    19390328              0       6.0       3.1       0.0         -
ALT    19390329              0      12.4       3.2       0.0         -
ALT    19390330              0      13.6       3.2       0.0         -
ALT    19390331              0      19.0       8.3       0.0         -
ALT    19390401              0      16.0       7.8       0.0         -
ALT    19390402              0      13.5       8.9       4.9         -
ALT    19390403              0      11.4       6.4       0.0         -
ALT    19390404              0      17.9      13.6       0.0         -
ALT    19390405              0      15.9      11.1       0.0         -
ALT    19390406              0      17.3      13.6       0.2         -
ALT    19390407              0      15.3      12.0       0.0         -
ALT    19390408              0      14.0      11.4       0.0         -
ALT    19390409              0      14.9      11.6       0.0         -
ALT    19390410              1      22.4      11.4       0.0         -
ALT    19390411              1      26.7      13.6       0.0         -
ALT    19390412              1      25.2      15.1       0.3         -
ALT    19390413              1      26.7      14.7       0.0         -
ALT    19390414              0      20.6      15.9       4.7         -
ALT    19390415              0      13.6      10.5       1.5         -
ALT    19390416              0      19.6      12.2       0.0         -
ALT    19390417              0      19.5      10.2       6.5         -
ALT    19390418              0       8.5       5.6      17.3         -
ALT    19390419              0      10.0       6.1       0.2         -
ALT    19390420              1      18.7       7.3       0.0         -
ALT    19390421              1      22.7       9.9       0.0         -
ALT    19390422              0      19.4      13.8       4.0         -
ALT    19390423              0      12.0       8.7       0.0         -
ALT    19390424              0      17.0       8.4       0.0         -
ALT    19390425              0      14.0       9.3       2.7         -
ALT    19390426              0      17.8      10.2      38.5         -
ALT    19390427              0       8.5       5.8      22.7         -
ALT    19390428              0      10.7       7.9      12.8         -
ALT    19390429              0      10.3       7.7       2.7         -
ALT    19390430              0      10.0       7.3       0.4         -
ALT    19390501              0      20.0       9.8       0.0         -
ALT    19390502              0      15.5      12.4       0.0         -
ALT    19390503              0      11.7       9.2       6.1         -
ALT    19390504              0      14.4      10.3       0.1         -
ALT    19390505              0      13.1      10.1       0.0         -
ALT    19390506              0      22.0      14.0       0.0         -
ALT    19390507              0      13.5      10.9       6.8         -
ALT    19390508              0       9.5       8.1      29.3         -
ALT    19390509              0      10.5       8.1      17.1         -
ALT    19390510              0      14.9      10.9       0.0         -
ALT    19390511              0      15.1      11.1       3.6         -
ALT    19390512              0      10.4       8.4       6.0         -
ALT    19390513              0      12.5       9.3       0.3         -
ALT    19390514              0      10.0       8.4      16.7         -
ALT    19390515              0      14.3      10.7       1.3         -
ALT    19390516              0      13.5       9.8       6.7         -
ALT    19390517              0      17.6       9.5       2.7         -
ALT    19390518              0      13.3      10.8      29.5         -
ALT    19390519              0      12.3       9.1       6.4         -
ALT    19390520              0      13.7      10.4      18.5         -
ALT    19390521              0      13.6       8.4      22.3         -
ALT    19390522              0      11.9       9.9       2.4         -
ALT    19390523              0      12.0      10.9       0.2         -
ALT    19390524              0      20.9      13.2       0.4         -
ALT    19390525              0      10.2       8.9       8.2         -
ALT    19390526              0      16.8      11.2       0.0         -
ALT    19390527              0      16.9      12.6       0.0         -
ALT    19390528              0      15.4      10.5      22.3         -
ALT    19390529              0      13.7      10.0       0.7         -
ALT    19390530              0      17.3      12.1       0.0         -
ALT    19390531              0      15.0      12.0       0.9         -
ALT    19390601              0      21.5      13.8       0.0         -
ALT    19390602              0      22.0      15.1       0.0         -
ALT    19390603              0      26.5      17.5       0.0         -
ALT    19390604              1      29.6      18.2       0.0         -
ALT    19390605              1      31.1      18.6       0.0         -
ALT    19390606              1      29.0      20.0       0.0         -
ALT    19390607              0      30.1      19.8       5.1         -
ALT    19390608              0      29.8      20.6       0.0         -
ALT    19390609              0      25.4      18.1       2.7         -
ALT    19390610              0      25.8      17.8       1.5         -
ALT    19390611              0      21.5      16.4      14.5         -
ALT    19390612              0      15.0      11.5      12.7         -
ALT    19390613              0      12.6       9.4       6.4         -
ALT    19390614              0      11.4       9.4       0.0         -
ALT    19390615              0      14.7      12.1       0.0         -
ALT    19390616              0      21.6      14.2       0.2         -
ALT    19390617              0      16.0      13.7      14.0         -
ALT    19390618              0      15.7      13.2       0.2         -
ALT    19390619              0      20.2      14.7       4.5         -
ALT    19390620              0      15.6      13.9       1.2         -
ALT    19390621              0      24.5      16.2       0.0         -
