 

stn    time           hns000d0
LUZ    19390101              0
LUZ    19390102              0
LUZ    19390103              0
LUZ    19390104              0
LUZ    19390105              0
LUZ    19390106              0
LUZ    19390107              0
LUZ    19390108              0
LUZ    19390109              0
LUZ    19390110              0
LUZ    19390111              0
LUZ    19390112              0
LUZ    19390113              0
LUZ    19390114              0
LUZ    19390115              0
LUZ    19390116              0
LUZ    19390117              0
LUZ    19390118              0
LUZ    19390119              0
LUZ    19390120              0
LUZ    19390121              0
LUZ    19390122              0
LUZ    19390123              0
LUZ    19390124              0
LUZ    19390125              0
LUZ    19390126              0
LUZ    19390127              0
LUZ    19390128              0
LUZ    19390129              0
LUZ    19390130              0
LUZ    19390131              0
LUZ    19390201              0
LUZ    19390202              0
LUZ    19390203              0
LUZ    19390204              0
LUZ    19390205              0
LUZ    19390206              0
LUZ    19390207              0
LUZ    19390208              0
LUZ    19390209              0
LUZ    19390210              0
LUZ    19390211              0
LUZ    19390212              0
LUZ    19390213              0
LUZ    19390214              0
LUZ    19390215              0
LUZ    19390216              0
LUZ    19390217              0
LUZ    19390218              0
LUZ    19390219              0
LUZ    19390220              0
LUZ    19390221              0
LUZ    19390222              0
LUZ    19390223              0
LUZ    19390224              0
LUZ    19390225              0
LUZ    19390226              0
LUZ    19390227              0
LUZ    19390228              0
LUZ    19390301              0
LUZ    19390302              0
LUZ    19390303              0
LUZ    19390304              0
LUZ    19390305              0
LUZ    19390306              0
LUZ    19390307              0
LUZ    19390308              0
LUZ    19390309              2
LUZ    19390310              0
LUZ    19390311              0
LUZ    19390312              1
LUZ    19390313              0
LUZ    19390314             13
LUZ    19390315              3
LUZ    19390316              2
LUZ    19390317              0
LUZ    19390318              0
LUZ    19390319              0
LUZ    19390320              0
LUZ    19390321              0
LUZ    19390322              0
LUZ    19390323              3
LUZ    19390324              0
LUZ    19390325              0
LUZ    19390326              0
LUZ    19390327              1
LUZ    19390328              0
LUZ    19390329              0
LUZ    19390330              0
LUZ    19390331              0
LUZ    19390401              0
LUZ    19390402              0
LUZ    19390403              0
LUZ    19390404              0
LUZ    19390405              0
LUZ    19390406              0
LUZ    19390407              0
LUZ    19390408              0
LUZ    19390409              0
LUZ    19390410              0
LUZ    19390411              0
LUZ    19390412              0
LUZ    19390413              0
LUZ    19390414              0
LUZ    19390415              0
LUZ    19390416              0
LUZ    19390417              0
LUZ    19390418              0
LUZ    19390419              0
LUZ    19390420              0
LUZ    19390421              0
LUZ    19390422              0
LUZ    19390423              0
LUZ    19390424              0
LUZ    19390425              0
