 

stn    time           nto002d0  hns000d0
KLO    20160101              0         0
KLO    20160102              0         0
KLO    20160103              0         0
KLO    20160104              0         0
KLO    20160105              0         0
KLO    20160106              0         0
KLO    20160107              0         0
KLO    20160108              0         0
KLO    20160109              0         0
KLO    20160110              0         0
KLO    20160111              0         0
KLO    20160112              0         0
KLO    20160113              0         0
KLO    20160114              0         1
KLO    20160115              0         2
KLO    20160116              0         1
KLO    20160117              0         0
KLO    20160118              0         0
KLO    20160119              0         4
KLO    20160120              0         0
KLO    20160121              0         0
KLO    20160122              0         0
KLO    20160123              0         0
KLO    20160124              0         0
KLO    20160125              0         0
KLO    20160126              0         0
KLO    20160127              0         0
KLO    20160128              0         0
KLO    20160129              0         0
KLO    20160130              0         0
KLO    20160131              0         0
KLO    20160201              0         0
KLO    20160202              0         0
KLO    20160203              0         0
KLO    20160204              0         0
KLO    20160205              0         0
KLO    20160206              0         0
KLO    20160207              0         0
KLO    20160208              0         0
KLO    20160209              0         1
KLO    20160210              0         0
KLO    20160211              0         0
KLO    20160212              0         0
KLO    20160213              0         0
KLO    20160214              0         0
KLO    20160215              0         0
KLO    20160216              0         0
KLO    20160217              0         0
KLO    20160218              0         0
KLO    20160219              0         0
KLO    20160220              0         0
KLO    20160221              0         0
KLO    20160222              0         0
KLO    20160223              0         0
KLO    20160224              0         4
KLO    20160225              0         0
KLO    20160226              0         0
KLO    20160227              0         0
KLO    20160228              0         0
KLO    20160229              0         6
KLO    20160301              0         0
KLO    20160302              0         0
KLO    20160303              0         0
KLO    20160304              0         0
KLO    20160305              0         0
KLO    20160306              0         0
KLO    20160307              0         6
KLO    20160308              0         0
KLO    20160309              0         0
KLO    20160310              1         0
KLO    20160311              0         0
KLO    20160312              0         0
KLO    20160313              0         0
KLO    20160314              0         0
KLO    20160315              0         0
KLO    20160316              0         0
KLO    20160317              1         0
KLO    20160318              1         0
KLO    20160319              1         0
KLO    20160320              0         0
KLO    20160321              0         0
KLO    20160322              0         0
KLO    20160323              0         0
KLO    20160324              0         0
KLO    20160325              0         0
KLO    20160326              0         0
KLO    20160327              0         0
KLO    20160328              0         0
KLO    20160329              0         0
KLO    20160330              0         0
KLO    20160331              0         0
KLO    20160401              0         0
KLO    20160402              0         0
KLO    20160403              0         0
KLO    20160404              0         0
KLO    20160405              0         0
KLO    20160406              0         0
KLO    20160407              0         0
